Metric,Value
route__drc_errors__iter:0,793
route__wirelength__iter:0,1491414
route__drc_errors__iter:1,272
route__wirelength__iter:1,1491213
route__drc_errors__iter:2,265
route__wirelength__iter:2,1491186
route__drc_errors__iter:3,7
route__wirelength__iter:3,1491183
route__drc_errors__iter:4,0
route__wirelength__iter:4,1491189
route__drc_errors__iter:5,0
route__wirelength__iter:5,1491191
route__drc_errors__iter:6,2
route__wirelength__iter:6,1490908
route__drc_errors__iter:7,0
route__wirelength__iter:7,1490914
route__drc_errors,0
route__wirelength,1491189
route__vias,253984
route__vias__singlecut,253984
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1360
timing__unannotated_net__count__corner:nom_tt_025C_1v80,157
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,157
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,157
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,244
design__max_fanout_violation__count__corner:min_tt_025C_1v80,96
design__max_cap_violation__count__corner:min_tt_025C_1v80,18
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.6609900591737786
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.47616445467675356
timing__hold__ws__corner:min_tt_025C_1v80,0.3106519573954123
timing__setup__ws__corner:min_tt_025C_1v80,595.1333319048464
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.310652
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,985.072510
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,157
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,5180
design__max_fanout_violation__count__corner:min_ss_100C_1v60,96
design__max_cap_violation__count__corner:min_ss_100C_1v60,30
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.9832238634896375
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6597284016929125
timing__hold__ws__corner:min_ss_100C_1v60,0.8877947517313651
timing__setup__ws__corner:min_ss_100C_1v60,591.2911714285428
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.887795
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,971.798645
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,157
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,74
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,96
design__max_cap_violation__count__corner:min_ff_n40C_1v95,18
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.5287399556732343
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4001580013942181
timing__hold__ws__corner:min_ff_n40C_1v95,0.10536360970819009
timing__setup__ws__corner:min_ff_n40C_1v95,596.7095999544365
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.105364
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,990.077759
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,157
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1023
design__max_fanout_violation__count__corner:max_tt_025C_1v80,96
design__max_cap_violation__count__corner:max_tt_025C_1v80,33
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.6968961160955809
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.495305366296448
timing__hold__ws__corner:max_tt_025C_1v80,0.31404990608068056
timing__setup__ws__corner:max_tt_025C_1v80,594.4710492129684
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.314050
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,982.971008
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,157
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
