Metric,Value
route__wirelength__iter:2,1496975
route__drc_errors__iter:3,0
route__wirelength__iter:3,1496975
route__drc_errors__iter:4,0
route__wirelength__iter:4,1497028
route__drc_errors__iter:5,3
route__wirelength__iter:5,1496813
route__drc_errors__iter:6,0
route__wirelength__iter:6,1496812
route__drc_errors,0
route__wirelength,1496975
route__vias,245600
route__vias__singlecut,245600
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1488.07
timing__unannotated_net__count__corner:nom_tt_025C_1v80,390
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,390
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,390
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,431
design__max_fanout_violation__count__corner:min_tt_025C_1v80,148
design__max_cap_violation__count__corner:min_tt_025C_1v80,1
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5940894611077207
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3938761372986208
timing__hold__ws__corner:min_tt_025C_1v80,0.39237614268320264
timing__setup__ws__corner:min_tt_025C_1v80,595.2060346396255
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.392376
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,390
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,4330
design__max_fanout_violation__count__corner:min_ss_100C_1v60,148
design__max_cap_violation__count__corner:min_ss_100C_1v60,27
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.8535306036871174
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.49980598852095975
timing__hold__ws__corner:min_ss_100C_1v60,1.0135246262461837
